,0
0,5f2bca13ba0be61b0c1ca177
1,5f2bca14ba0be61b0c1ca299
2,5f2bca14ba0be61b0c1ca2aa
3,5f2bca14ba0be61b0c1ca2e0
4,5f2bca14ba0be61b0c1ca2fd
5,5f2bca14ba0be61b0c1ca39e
6,5f2bca14ba0be61b0c1ca3bd
7,5f2bca14ba0be61b0c1ca413
8,5f2bca14ba0be61b0c1ca472
9,5f2bca14ba0be61b0c1ca486
10,5f2bca14ba0be61b0c1ca4d7
11,5f2bca14ba0be61b0c1ca4f2
12,5f2bca16ba0be61b0c1ca582
13,5f2bca16ba0be61b0c1ca5be
14,5f2bca16ba0be61b0c1ca5c9
15,5f2bca16ba0be61b0c1ca5ee
16,5f2bca16ba0be61b0c1ca672
17,5f2bca16ba0be61b0c1ca6ae
18,5f2bca16ba0be61b0c1ca771
19,5f2bca16ba0be61b0c1ca7c9
20,5f2bca16ba0be61b0c1ca7d6
21,5f2bca16ba0be61b0c1ca835
22,5f2bca16ba0be61b0c1ca854
23,5f2bca16ba0be61b0c1ca857
24,5f2bca16ba0be61b0c1ca87c
25,5f2bca16ba0be61b0c1ca931
26,5f2bca18ba0be61b0c1ca9df
27,5f2bca18ba0be61b0c1ca9f9
28,5f2bca18ba0be61b0c1caad0
29,5f2bca18ba0be61b0c1cab12
30,5f2bca18ba0be61b0c1cab30
31,5f2bca18ba0be61b0c1cabb7
32,5f2bca1aba0be61b0c1cada6
33,5f2bca1aba0be61b0c1cadc3
34,5f2bca1aba0be61b0c1cae16
35,5f2bca1aba0be61b0c1caf6a
36,5f2bca1aba0be61b0c1caf6b
37,5f2bca1aba0be61b0c1caf8b
38,5f2bca1aba0be61b0c1cafcf
39,5f2bca1aba0be61b0c1cb052
40,5f2bca1cba0be61b0c1cb13f
41,5f2bca1cba0be61b0c1cb1a8
42,5f2bca1cba0be61b0c1cb1dc
43,5f2bca1cba0be61b0c1cb1f4
44,5f2bca1cba0be61b0c1cb201
45,5f2bca1dba0be61b0c1cb2e9
46,5f2bca1dba0be61b0c1cb35b
47,5f2bca1dba0be61b0c1cb3a1
48,5f2bca1fba0be61b0c1cb733
49,5f2bca1fba0be61b0c1cb75b
50,5f2bca1fba0be61b0c1cb761
51,5f2bca1fba0be61b0c1cb763
52,5f2bca1fba0be61b0c1cb8a4
53,5f2bca1fba0be61b0c1cb8cb
54,5f2bca20ba0be61b0c1cb909
55,5f2bca20ba0be61b0c1cba5e
56,5f2bca20ba0be61b0c1cba94
57,5f2bca20ba0be61b0c1cbab2
58,5f2bca20ba0be61b0c1cbaf0
59,5f2bca20ba0be61b0c1cbaf1
60,5f2bca20ba0be61b0c1cbb1f
61,5f2bca20ba0be61b0c1cbc25
62,5f2bca21ba0be61b0c1cbd11
63,5f2bca21ba0be61b0c1cbd17
64,5f2bca21ba0be61b0c1cbd95
65,5f2bca21ba0be61b0c1cbd9d
66,5f2bca21ba0be61b0c1cbe01
67,5f2bca21ba0be61b0c1cbf38
68,5f2bca21ba0be61b0c1cbf92
69,5f2bca21ba0be61b0c1cbfa6
70,5f2bca21ba0be61b0c1cc02d
71,5f2bca21ba0be61b0c1cc0a0
72,5f2bca21ba0be61b0c1cc0b2
73,5f2bca22ba0be61b0c1cc10f
74,5f2bca22ba0be61b0c1cc156
75,5f2bca22ba0be61b0c1cc1e7
76,5f2bca22ba0be61b0c1cc214
77,5f2bca22ba0be61b0c1cc2d0
78,5f2bca22ba0be61b0c1cc2d4
79,5f2bca22ba0be61b0c1cc2e4
80,5f2bca22ba0be61b0c1cc3bc
81,5f2bca22ba0be61b0c1cc45c
82,5f2bca23ba0be61b0c1cc4a7
83,5f2bca23ba0be61b0c1cc5d8
84,5f2bca23ba0be61b0c1cc666
85,5f2bca23ba0be61b0c1cc676
86,5f2bca23ba0be61b0c1cc681
87,5f2bca23ba0be61b0c1cc6a7
88,5f2bca23ba0be61b0c1cc705
89,5f2bca23ba0be61b0c1cc756
90,5f2bca25ba0be61b0c1cc91b
91,5f2bca25ba0be61b0c1cc961
92,5f2bca25ba0be61b0c1cc962
93,5f2bca25ba0be61b0c1cc964
94,5f2bca25ba0be61b0c1cc967
95,5f2bca25ba0be61b0c1cc991
96,5f2bca25ba0be61b0c1cc997
97,5f2bca25ba0be61b0c1cca8b
98,5f2bca25ba0be61b0c1ccb71
99,5f2bca25ba0be61b0c1ccbd6
100,5f2bca25ba0be61b0c1ccc46
101,5f2bca26ba0be61b0c1ccc82
102,5f2bca26ba0be61b0c1ccc87
103,5f2bca26ba0be61b0c1ccc94
104,5f2bca26ba0be61b0c1ccda6
105,5f2bca26ba0be61b0c1ccf2b
106,5f2bca26ba0be61b0c1ccfe7
107,5f2bca26ba0be61b0c1cd017
108,5f2bca27ba0be61b0c1cd057
109,5f2bca27ba0be61b0c1cd05e
110,5f2bca27ba0be61b0c1cd0d0
111,5f2bca27ba0be61b0c1cd0d3
112,5f2bca27ba0be61b0c1cd131
113,5f2bca27ba0be61b0c1cd1df
114,5f2bca27ba0be61b0c1cd217
115,5f2bca27ba0be61b0c1cd3a3
116,5f2bca28ba0be61b0c1cd477
117,5f2bca28ba0be61b0c1cd491
118,5f2bca28ba0be61b0c1cd4fb
119,5f2bca28ba0be61b0c1cd52b
120,5f2bca29ba0be61b0c1cd604
121,5f2bca29ba0be61b0c1cd6eb
122,5f2bca29ba0be61b0c1cd771
123,5f2bca29ba0be61b0c1cd793
124,5f2bca2aba0be61b0c1cd833
125,5f2bca2aba0be61b0c1cd844
126,5f2bca2aba0be61b0c1cda44
127,5f2bca2aba0be61b0c1cda5d
128,5f2bca2aba0be61b0c1cdb3f
129,5f2bca2aba0be61b0c1cdb89
130,5f2bca2aba0be61b0c1cdbbc
131,5f2bca2cba0be61b0c1cdc2c
132,5f2bca2cba0be61b0c1cdcb8
133,5f2bca2cba0be61b0c1cdcea
134,5f2bca2cba0be61b0c1cdcf5
135,5f2bca2cba0be61b0c1cdd1f
136,5f2bca2cba0be61b0c1cdde0
137,5f2bca2cba0be61b0c1cde33
138,5f2bca2cba0be61b0c1cdf67
139,5f2bca2cba0be61b0c1cdf80
140,5f2bca2cba0be61b0c1cdf99
141,5f2bca2cba0be61b0c1cdfb5
142,5f2bca2cba0be61b0c1cdfbe
143,5f2bca2cba0be61b0c1cdfe2
144,5f2bca2dba0be61b0c1ce04c
145,5f2bca2dba0be61b0c1ce072
146,5f2bca2dba0be61b0c1ce0ee
147,5f2bca2dba0be61b0c1ce11c
148,5f2bca2dba0be61b0c1ce193
149,5f2bca2dba0be61b0c1ce199
150,5f2bca2dba0be61b0c1ce293
151,5f2bca2dba0be61b0c1ce32c
152,5f2bca2dba0be61b0c1ce36c
153,5f2bca2eba0be61b0c1ce440
154,5f2bca2eba0be61b0c1ce4d5
155,5f2bca2eba0be61b0c1ce4f3
156,5f2bca2eba0be61b0c1ce537
157,5f2bca2eba0be61b0c1ce576
158,5f2bca2eba0be61b0c1ce5c9
159,5f2bca2eba0be61b0c1ce6ce
160,5f2bca2eba0be61b0c1ce6fd
161,5f2bca2eba0be61b0c1ce738
162,5f2bca2fba0be61b0c1ce835
163,5f2bca2fba0be61b0c1ce8fc
164,5f2bca2fba0be61b0c1cea2c
165,5f2bca2fba0be61b0c1cea9b
166,5f2bca2fba0be61b0c1ceabc
167,5f2bca2fba0be61b0c1ceb09
168,5f2bca31ba0be61b0c1cf0eb
169,5f2bca31ba0be61b0c1cf0f9
170,5f2bca31ba0be61b0c1cf145
171,5f2bca31ba0be61b0c1cf2f1
172,5f2bca32ba0be61b0c1cf478
173,5f2bca32ba0be61b0c1cf4f7
174,5f2bca32ba0be61b0c1cf538
175,5f2bca32ba0be61b0c1cf5d3
176,5f2bca33ba0be61b0c1cf818
177,5f2bca33ba0be61b0c1cf920
178,5f2bca33ba0be61b0c1cfa1c
179,5f2bca33ba0be61b0c1cfa63
180,5f2bca33ba0be61b0c1cfad7
181,5f2bca33ba0be61b0c1cfb06
182,5f2bca34ba0be61b0c1cfc02
183,5f2bca34ba0be61b0c1cfc45
184,5f2bca34ba0be61b0c1cfc7e
185,5f2bca34ba0be61b0c1cfd1e
186,5f2bca36ba0be61b0c1d0074
187,5f2bca37ba0be61b0c1d0384
188,5f2bca37ba0be61b0c1d040c
189,5f2bca37ba0be61b0c1d069c
190,5f2bca37ba0be61b0c1d06d5
191,5f2bca37ba0be61b0c1d06e0
192,5f2bca38ba0be61b0c1d073a
193,5f2bca38ba0be61b0c1d07be
194,5f2bca38ba0be61b0c1d0964
195,5f2bca38ba0be61b0c1d0a08
196,5f2bca38ba0be61b0c1d0ae9
197,5f2bca39ba0be61b0c1d0b91
198,5f2bca39ba0be61b0c1d0e2d
199,5f2bca3aba0be61b0c1d0faa
200,5f2bca3aba0be61b0c1d10b8
201,5f2bca3bba0be61b0c1d13a2
202,5f2bca3bba0be61b0c1d144a
203,5f2bca3bba0be61b0c1d1577
204,5f2bca3bba0be61b0c1d1638
205,5f2bca3bba0be61b0c1d166c
206,5f2bca3dba0be61b0c1d19d8
207,5f2bca3eba0be61b0c1d1b15
208,5f2bca3eba0be61b0c1d1c58
209,5f2bca3eba0be61b0c1d1e3b
210,5f2bca42ba0be61b0c1d2731
211,5f2bca43ba0be61b0c1d2d9c
212,5f2bca44ba0be61b0c1d2f26
213,5f2bca45ba0be61b0c1d3431
214,5f2bca45ba0be61b0c1d3524
215,5f2bca46ba0be61b0c1d35f9
216,5f2bca46ba0be61b0c1d360a
217,5f2bca46ba0be61b0c1d36a0
218,5f2bca46ba0be61b0c1d3746
219,5f2bca46ba0be61b0c1d3760
220,5f2bca46ba0be61b0c1d37c5
221,5f2bca46ba0be61b0c1d37c9
222,5f2bca46ba0be61b0c1d3822
223,5f2bca46ba0be61b0c1d3838
224,5f2bca46ba0be61b0c1d3869
225,5f2bca46ba0be61b0c1d38de
226,5f2bca46ba0be61b0c1d392e
227,5f2bca46ba0be61b0c1d395c
228,5f2bca46ba0be61b0c1d3961
229,5f2bca46ba0be61b0c1d399a
230,5f2bca46ba0be61b0c1d39b0
231,5f2bca46ba0be61b0c1d39c9
232,5f2bca47ba0be61b0c1d39d5
233,5f2bca47ba0be61b0c1d39dc
234,5f2bca47ba0be61b0c1d39dd
235,5f2bca48ba0be61b0c1d3a72
236,5f2bca48ba0be61b0c1d3a84
237,5f2bca48ba0be61b0c1d3ba3
238,5f2bca48ba0be61b0c1d3c15
239,5f2bca48ba0be61b0c1d3c1c
240,5f2bca48ba0be61b0c1d3c6a
241,5f2bca48ba0be61b0c1d3c75
242,5f2bca48ba0be61b0c1d3d20
243,5f2bca48ba0be61b0c1d3d5f
244,5f2bca4bba0be61b0c1d42d6
245,5f2bca4bba0be61b0c1d4398
246,5f2bca4bba0be61b0c1d43d0
247,5f2bca52ba0be61b0c1d5646
248,5f2bca54ba0be61b0c1d5ed5
249,5f2bca54ba0be61b0c1d5ee4
250,5f2bca59ba0be61b0c1d6601
251,5f2bca59ba0be61b0c1d66cb
252,5f2bca5aba0be61b0c1d6970
253,5f2bca5aba0be61b0c1d6b0b
254,5f2bca5bba0be61b0c1d6ca5
255,5f2bca5bba0be61b0c1d6d03
256,5f2bca5bba0be61b0c1d6d04
257,5f2bca5bba0be61b0c1d6d39
258,5f2bca5bba0be61b0c1d6d8f
259,5f2bca5cba0be61b0c1d6e53
260,5f2bca5cba0be61b0c1d6e6e
261,5f2bca5cba0be61b0c1d6ec8
262,5f2bca5cba0be61b0c1d6f14
263,5f2bca5cba0be61b0c1d7096
264,5f2bca5cba0be61b0c1d70ee
265,5f2bca5cba0be61b0c1d7112
266,5f2bca5cba0be61b0c1d71b3
267,5f2bca5cba0be61b0c1d725a
268,5f2bca5cba0be61b0c1d725e
269,5f2bca5dba0be61b0c1d7475
270,5f2bca5dba0be61b0c1d74a7
271,5f2bca5dba0be61b0c1d77d3
272,5f2bca5dba0be61b0c1d77f8
273,5f2bca5eba0be61b0c1d786d
274,5f2bca5eba0be61b0c1d7872
